spot,count,satis,urban
37020,631,0.214801444,경상북도경주시
21090,596,0.248394004,부산광역시해운대구
39020,590,0.300884956,제주특별자치도서귀포시
32060,573,0.277915633,강원도속초시
36020,530,0.402409639,전라남도여수시
32030,491,0.270949721,강원도강릉시
34030,357,0.237588652,충청남도보령시
31370,349,0.285714286,경기도가평군
39010,343,0.261261261,제주특별자치도제주시
35010,342,0.28164557,전라북도전주시
38090,331,0.272727273,경상남도거제시
37010,322,0.211469534,경상북도포항시
38050,280,0.297674419,경상남도통영시
34380,279,0.342857143,충청남도태안군
38350,258,0.277511962,경상남도남해군
33380,239,0.221105528,충청북도단양군
32010,238,0.24120603,강원도춘천시
36030,235,0.353846154,전라남도순천시
31190,208,0.330985915,경기도용인시
23310,183,0.272151899,인천광역시강화군
35020,183,0.315789474,전라북도군산시
34020,169,0.348993289,충청남도공주시
36310,162,0.45751634,전라남도담양군
31380,159,0.226950355,경기도양평군
35380,158,0.485915493,전라북도부안군
35040,156,0.45112782,전라북도정읍시
36010,152,0.285714286,전라남도목포시
35330,151,0.315789474,전라북도무주군
37350,150,0.231404959,경상북도영덕군
31270,146,0.147286822,경기도포천시
34340,134,0.201680672,충청남도서천군
36480,129,0.412844037,전라남도신안군
38100,127,0.175438596,경상남도양산시
34370,126,0.3,충청남도예산군
23010,123,0.232142857,인천광역시중구
11240,123,0.410526316,서울특별시송파구
32310,121,0.231707317,강원도홍천군
35370,120,0.441176471,전라북도고창군
36360,119,0.336448598,전라남도보성군
33030,114,0.162790698,충청북도제천시
21310,113,0.225806452,부산광역시기장군
32340,111,0.230769231,강원도평창군
21140,108,0.119565217,부산광역시수영구
26310,108,0.224489796,울산광역시울주군
32040,107,0.25974026,강원도동해시
34040,107,0.326086957,충청남도아산시
11230,107,0.392857143,서울특별시강남구
36330,106,0.261363636,전라남도구례군
32070,105,0.289855072,강원도삼척시
32410,102,0.333333333,강원도양양군
38110,102,0.272727273,경상남도창원시
37040,99,0.139534884,경상북도안동시
34080,98,0.314606742,충청남도당진시
34330,98,0.188235294,충청남도부여군
11010,97,0.320512821,서울특별시종로구
32020,95,0.275,강원도원주시
33020,94,0.217948718,충청북도충주시
25040,94,0.26744186,대전광역시유성구
38080,91,0.113924051,경상남도밀양시
22010,84,0.246575342,대구광역시중구
36460,84,0.397058824,전라남도완도군
31200,83,0.256756757,경기도파주시
32350,83,0.218181818,강원도정선군
33320,83,0.338461538,충청북도보은군
37090,80,0.169230769,경상북도문경시
34310,79,0.373134328,충청남도금산군
34010,78,0.222222222,충청남도천안시
34050,78,0.261538462,충청남도서산시
37360,77,0.289855072,경상북도청도군
37420,77,0.173076923,경상북도울진군
24010,73,0.582089552,광주광역시동구
36320,72,0.432835821,전라남도곡성군
31010,71,0.216666667,경기도수원시
38060,70,0.18,경상남도사천시
31250,68,0.26984127,경기도광주시
33360,68,0.192982456,충청북도괴산군
38360,67,0.285714286,경상남도하동군
35050,67,0.322033898,전라북도남원시
31130,66,0.13559322,경기도남양주시
31100,66,0.25,경기도고양시
29010,65,0.253968254,세종특별자치시세종시
33040,65,0.24,충청북도청주시
36400,64,0.3125,전라남도해남군
38070,64,0.120689655,경상남도김해시
31240,64,0.236363636,경기도화성시
38370,64,0.224489796,경상남도산청군
31110,62,0.296296296,경기도과천시
21010,62,0.341463415,부산광역시중구
35360,61,0.263157895,전라북도순창군
31090,56,0.309090909,경기도안산시
36420,55,0.173076923,전라남도무안군
38400,54,0.212765957,경상남도합천군
36350,54,0.347826087,전라남도고흥군
21050,54,0.244444444,부산광역시부산진구
35320,53,0.318181818,전라북도진안군
25020,53,0.104166667,대전광역시중구
38030,53,0.155555556,경상남도진주시
24050,52,0.586956522,광주광역시광산구
22070,51,0.305555556,대구광역시달서구
36440,51,0.319148936,전라남도영광군
32390,51,0.206896552,강원도인제군
32400,50,0.25,강원도고성군
36370,49,0.510638298,전라남도화순군
37030,49,0.11627907,경상북도김천시
35310,48,0.23255814,전라북도완주군
21040,47,0.179487179,부산광역시영도구
25030,47,0.12195122,대전광역시서구
37050,47,0.14893617,경상북도구미시
26020,46,0.195121951,울산광역시남구
36060,46,0.243902439,전라남도광양시
11140,46,0.214285714,서울특별시마포구
36380,45,0.707317073,전라남도장흥군
35350,45,0.288888889,전라북도임실군
35030,45,0.282051282,전라북도익산시
37330,45,0.285714286,경상북도청송군
23320,45,0.294117647,인천광역시옹진군
32330,44,0.21875,강원도영월군
36450,44,0.447368421,전라남도장성군
23050,42,0.151515152,인천광역시남동구
31280,42,0.1875,경기도여주시
11020,40,0.35483871,서울특별시중구
38330,40,0.258064516,경상남도창녕군
31260,38,0.264705882,경기도양주시
22060,38,0.323529412,대구광역시수성구
37060,38,0.264705882,경상북도영주시
32050,37,0.291666667,강원도태백시
34060,37,0.3,충청남도논산시
11190,37,0.222222222,서울특별시영등포구
24020,36,0.8,광주광역시서구
31230,35,0.129032258,경기도김포시
37070,35,0.133333333,경상북도영천시
21100,35,0.2,부산광역시사하구
35340,34,0.322580645,전라북도장수군
11030,34,0.285714286,서울특별시용산구
34360,33,0.24,충청남도홍성군
36470,33,0.481481481,전라남도진도군
38340,33,0.15625,경상남도고성군
11060,32,0.4375,서울특별시동대문구
24030,32,0.72,광주광역시남구
21060,32,0.347826087,부산광역시동래구
22020,32,0.111111111,대구광역시동구
23040,31,0.269230769,인천광역시연수구
36390,30,0.28,전라남도강진군
37100,30,0.291666667,경상북도경산시
31210,29,0.391304348,경기도이천시
36430,29,0.357142857,전라남도함평군
22310,29,0.230769231,대구광역시달성군
36040,28,0.346153846,전라남도나주시
31220,28,0.25,경기도안성시
36410,28,0.423076923,전라남도영암군
25050,28,0.166666667,대전광역시대덕구
26030,28,0.111111111,울산광역시동구
38390,28,0.222222222,경상남도거창군
33330,27,0.260869565,충청북도옥천군
33350,27,0.12,충청북도진천군
31050,27,0.04,경기도부천시
37410,27,0.4,경상북도봉화군
37080,26,0.105263158,경상북도상주시
32320,25,0.166666667,강원도횡성군
37310,25,0.181818182,경상북도군위군
21020,25,0.222222222,부산광역시서구
33340,25,0.095238095,충청북도영동군
38380,24,0.125,경상남도함양군
31060,24,0.368421053,경기도광명시
33370,24,0.1,충청북도음성군
31150,23,0.181818182,경기도시흥시
21110,23,0.25,부산광역시금정구
31350,22,0.333333333,경기도연천군
11210,22,0.3125,서울특별시관악구
35060,22,0.428571429,전라북도김제시
24040,22,0.473684211,광주광역시북구
31070,21,0.166666667,경기도평택시
31020,20,0.352941176,경기도성남시
21070,20,0.294117647,부산광역시남구
11220,20,0.4,서울특별시서초구
32360,17,0.4375,강원도철원군
37380,16,0.153846154,경상북도성주군
34350,16,0.428571429,충청남도청양군
11050,15,0.357142857,서울특별시광진구
26010,15,0.363636364,울산광역시중구
37320,15,0,경상북도의성군
31030,14,0.181818182,경기도의정부시
31180,14,0.545454545,경기도하남시
31080,14,0.25,경기도동두천시
11160,14,0,서울특별시강서구
11130,14,0.142857143,서울특별시서대문구
23070,13,0.333333333,인천광역시계양구
38320,13,0.384615385,경상남도함안군
32370,13,0.181818182,강원도화천군
37370,12,0.083333333,경상북도고령군
26040,12,0.444444444,울산광역시북구
32380,12,0.181818182,강원도양구군
31120,12,0.181818182,경기도구리시
31040,11,0.222222222,경기도안양시
11090,11,0.222222222,서울특별시강북구
37400,11,0.166666667,경상북도예천군
37430,11,0,경상북도울릉군
25010,10,0.111111111,대전광역시동구
23060,10,0.142857143,인천광역시부평구
21080,9,0.166666667,부산광역시북구
34070,9,0.625,충청남도계룡시
37390,9,0.111111111,경상북도칠곡군
11100,8,0.375,서울특별시도봉구
21120,8,0.571428571,부산광역시강서구
38310,7,0,경상남도의령군
21150,7,0.166666667,부산광역시사상구
31170,7,0.142857143,경기도의왕시
22050,7,0.285714286,대구광역시북구
11250,7,0.142857143,서울특별시강동구
21030,6,0,부산광역시동구
22040,6,0,대구광역시남구
11110,6,0,서울특별시노원구
11120,6,0.166666667,서울특별시은평구
31140,6,0,경기도오산시
11040,6,0.25,서울특별시성동구
22030,5,0.5,대구광역시서구
11200,4,0.5,서울특별시동작구
23080,4,0.333333333,인천광역시서구
11080,4,0.333333333,서울특별시성북구
31160,4,0.25,경기도군포시
33390,3,0,충청북도증평군
11170,2,0.5,서울특별시구로구
21130,2,0,부산광역시연제구
23020,2,0,인천광역시동구
23030,1,0,인천광역시남구
11150,1,0,서울특별시양천구
37340,1,1,경상북도영양군
25000,1,1,대전광역시
